cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,candidate_rank,candidate_url
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,7,https://isoplexis.com/investors
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,8,https://isoplexis.com/investor-relations
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,9,https://isoplexis.com/governance
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,10,https://isoplexis.com/corporate-governance
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,11,https://linkedin.com
1615055,,IsoPlexis Corp,2021-10-08,2022-10-08,12,https://linkedin.com/investors
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,1,https://bonebiologics.com/investor-relations/corporate-governance
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,2,https://bonebiologics.com/investor-relations/corporate-governance/investors
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,3,https://bonebiologics.com/investor-relations/corporate-governance/investor-relations
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,4,https://bonebiologics.com/investor-relations/corporate-governance/governance
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,5,https://bonebiologics.com/investor-relations/corporate-governance/corporate-governance
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,6,https://bonebiologics.com
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,7,https://bonebiologics.com/investors
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,8,https://bonebiologics.com/investor-relations
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,9,https://bonebiologics.com/governance
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,10,https://bonebiologics.com/corporate-governance
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,11,https://investorelections.com
1419554,BBLG,Bone Biologics Corp,2021-10-13,2022-10-13,12,https://investorelections.com/investors
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,1,https://investor.minktherapeutics.com/corporate-governance/documents-and-charters
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,2,https://investor.minktherapeutics.com/corporate-governance/documents-and-charters/investors
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,3,https://investor.minktherapeutics.com/corporate-governance/documents-and-charters/investor-relations
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,4,https://investor.minktherapeutics.com/corporate-governance/documents-and-charters/governance
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,5,https://investor.minktherapeutics.com/corporate-governance/documents-and-charters/corporate-governance
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,6,https://investor.minktherapeutics.com
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,7,https://investor.minktherapeutics.com/investors
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,8,https://investor.minktherapeutics.com/investor-relations
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,9,https://investor.minktherapeutics.com/governance
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,10,https://investor.minktherapeutics.com/corporate-governance
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,11,https://minktherapeutics.com
1840229,INKT,"MiNK Therapeutics, Inc.",2021-10-15,2022-10-15,12,https://minktherapeutics.com/investors
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,1,https://investor.innovage.com
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,2,https://investor.innovage.com/investors
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,3,https://investor.innovage.com/investor-relations
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,4,https://investor.innovage.com/governance
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,5,https://investor.innovage.com/corporate-governance
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,6,https://ir.strongholddigitalmining.com
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,7,https://ir.strongholddigitalmining.com/investors
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,8,https://ir.strongholddigitalmining.com/investor-relations
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,9,https://ir.strongholddigitalmining.com/governance
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,10,https://ir.strongholddigitalmining.com/corporate-governance
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,11,https://imetrix.edgar-online.com
1856028,,"Stronghold Digital Mining, Inc.",2021-10-20,2022-10-20,12,https://imetrix.edgar-online.com/investors
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,1,https://investors.runwaygrowth.com/corporate-governance/governance-overview
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,2,https://investors.runwaygrowth.com/corporate-governance/governance-overview/investors
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,3,https://investors.runwaygrowth.com/corporate-governance/governance-overview/investor-relations
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,4,https://investors.runwaygrowth.com/corporate-governance/governance-overview/governance
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,5,https://investors.runwaygrowth.com/corporate-governance/governance-overview/corporate-governance
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,6,https://investors.runwaygrowth.com
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,7,https://investors.runwaygrowth.com/investors
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,8,https://investors.runwaygrowth.com/investor-relations
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,9,https://investors.runwaygrowth.com/governance
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,10,https://investors.runwaygrowth.com/corporate-governance
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,11,https://astproxyportal.com
1653384,RWAY,Runway Growth Finance Corp.,2021-10-21,2022-10-21,12,https://astproxyportal.com/investors
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,1,https://astproxyportal.com
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,2,https://astproxyportal.com/investors
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,3,https://astproxyportal.com/investor-relations
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,4,https://astproxyportal.com/governance
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,5,https://astproxyportal.com/corporate-governance
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,6,https://marpaihealth.com
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,7,https://marpaihealth.com/investors
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,8,https://marpaihealth.com/investor-relations
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,9,https://marpaihealth.com/governance
1844392,MRAI,"Marpai, Inc.",2021-10-27,2022-10-27,10,https://marpaihealth.com/corporate-governance
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,1,https://investors.gf.com
1709048,GFS,GLOBALFOUNDRIES Inc.,2021-10-28,2022-10-28,2,https://investors.gf.com/investors
