cik,ticker,legal_name,exchange,market_tier,security_type,nasdaq_listing_date,listing_date_basis,listing_confidence,initial_matrix_due_date,in_scope_nasdaq,broad_cohort,narrow_matured_cohort,edge_case,exclusion_reason,confidence,review_reason,initial_matrix_status,initial_matrix_source,initial_matrix_confidence,notes
1145255,HNNA,HENNESSY ADVISORS INC,Nasdaq,Global Market,debt,2021-10-14,pricing_proxy,0.75,2022-10-14,0,0,0,0,debt_only,0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
864270,,AMERICAN HONDA FINANCE CORP,NYSE,Global Market,right,2021-10-15,pricing_proxy,0.75,2022-10-15,0,0,0,0,right_security,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1848020,,Black Mountain Acquisition Corp.,NYSE,,unit,2021-10-15,pricing_proxy,0.75,2022-10-15,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1876183,IHS,IHS Holding Ltd,NYSE,,ordinary shares,2021-10-15,pricing_proxy,0.75,2022-10-15,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1531978,,"Paragon 28, Inc.",NYSE,,common stock,2021-10-18,pricing_proxy,0.75,2022-10-18,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1754836,EIC,Eagle Point Income Co Inc.,NYSE,,preferred,2021-10-19,pricing_proxy,0.75,2022-10-19,0,0,0,0,preferred_only,0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1855302,,"Industrial Human Capital, Inc.",NYSE,,unit,2021-10-21,pricing_proxy,0.75,2022-10-21,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1869141,,Athena Consumer Acquisition Corp.,NYSE,,unit,2021-10-21,pricing_proxy,0.75,2022-10-21,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1841968,RPC,"Ridgepost Capital, Inc.",NYSE,,common stock,2021-10-22,pricing_proxy,0.75,2022-10-22,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1852940,,GoGreen Investments Corp,NYSE,,unit,2021-10-22,pricing_proxy,0.75,2022-10-22,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1868912,,"Enfusion, Inc.",NYSE,,common stock,2021-10-22,pricing_proxy,0.75,2022-10-22,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1856589,,M3-Brigade Acquisition III Corp.,NYSE,,unit,2021-10-25,pricing_proxy,0.75,2022-10-25,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1858351,,Iconic Sports Acquisition Corp.,NYSE,,unit,2021-10-25,pricing_proxy,0.75,2022-10-25,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1861541,,Pegasus Digital Mobility Acquisition Corp.,NYSE,,unit,2021-10-25,pricing_proxy,0.75,2022-10-25,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1865187,,"Aris Water Solutions, Inc.",NYSE,,common stock,2021-10-25,pricing_proxy,0.75,2022-10-25,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1868778,,Informatica Inc.,NYSE,,common stock,2021-10-27,pricing_proxy,0.75,2022-10-27,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1848756,,Pyrophyte Acquisition Corp.,NYSE,,unit,2021-10-28,pricing_proxy,0.75,2022-10-28,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1870600,SBDS,"Solo Brands, Inc.",NYSE,,common stock,2021-10-29,pricing_proxy,0.75,2022-10-29,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1407973,SONX,"Sonendo, Inc.",NYSE,,common stock,2021-11-01,pricing_proxy,0.75,2022-11-01,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1846975,,SDCL EDGE Acquisition Corp,NYSE,,unit,2021-11-01,pricing_proxy,0.75,2022-11-01,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1859285,,HireRight Holdings Corp,NYSE,,common stock,2021-11-01,pricing_proxy,0.75,2022-11-01,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1841230,,Trine II Acquisition Corp.,NYSE,,unit,2021-11-04,pricing_proxy,0.75,2022-11-04,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1860543,CDRE,"Cadre Holdings, Inc.",NYSE,,common stock,2021-11-05,pricing_proxy,0.75,2022-11-05,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1851961,GCTS,"GCT Semiconductor Holding, Inc.",NYSE,,unit,2021-11-05,pricing_proxy,0.75,2022-11-05,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1838814,,Juniper II Corp.,NYSE,,unit,2021-11-08,pricing_proxy,0.75,2022-11-08,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1860879,,Rigel Resource Acquisition Corp.,NYSE,,unit,2021-11-08,pricing_proxy,0.75,2022-11-08,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1867752,,Cian PLC,NYSE,,ADS,2021-11-08,pricing_proxy,0.75,2022-11-08,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1849011,,Apeiron Capital Investment Corp.,NYSE,,unit,2021-11-10,pricing_proxy,0.75,2022-11-10,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1850038,,Hunt Companies Acquisition Corp. I,NYSE,,unit,2021-11-10,pricing_proxy,0.75,2022-11-10,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1868995,CINT,CI&T Inc,NYSE,,common stock,2021-11-10,pricing_proxy,0.75,2022-11-10,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1609151,WEAV,"Weave Communications, Inc.",NYSE,,common stock,2021-11-12,pricing_proxy,0.75,2022-11-12,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1782627,,"Winc, Inc.",NYSE,,common stock,2021-11-12,pricing_proxy,0.75,2022-11-12,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1850316,,Ascendant Digital Acquisition Corp. III,NYSE,,unit,2021-11-12,pricing_proxy,0.75,2022-11-12,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1854795,,INTEGRATED RAIL & RESOURCES ACQUISITION CORP,NYSE,,unit,2021-11-12,pricing_proxy,0.75,2022-11-12,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1870143,,Perception Capital Corp. IV,NYSE,,unit,2021-11-12,pricing_proxy,0.75,2022-11-12,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1557127,,"UserTesting, Inc.",NYSE,,common stock,2021-11-17,pricing_proxy,0.75,2022-11-17,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1854458,,Nabors Energy Transition Corp.,NYSE,,unit,2021-11-18,pricing_proxy,0.75,2022-11-18,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1885461,,ShoulderUP Technology Acquisition Corp.,NYSE,,unit,2021-11-18,pricing_proxy,0.75,2022-11-18,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1477815,SG,"Sweetgreen, Inc.",NYSE,,common stock,2021-11-19,pricing_proxy,0.75,2022-11-19,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1862327,,Infinite Acquisition Corp.,NYSE,,unit,2021-11-23,pricing_proxy,0.75,2022-11-23,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1847351,,Beard Energy Transition Acquisition Corp.,NYSE,,unit,2021-11-24,pricing_proxy,0.75,2022-11-24,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1863719,,Everest Consolidator Acquisition Corp,NYSE,,unit,2021-11-24,pricing_proxy,0.75,2022-11-24,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1866390,,Babylon Holdings Ltd,NYSE,,ordinary shares,2021-11-30,pricing_proxy,0.75,2022-11-30,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1853070,SOAR,"Volato Group, Inc.",NYSE,,unit,2021-12-02,pricing_proxy,0.75,2022-12-02,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1858684,,ST Energy Transition I Ltd.,NYSE,,ordinary shares,2021-12-03,pricing_proxy,0.75,2022-12-03,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1885754,,Motive Capital Corp II,NYSE,,ordinary shares,2021-12-08,pricing_proxy,0.75,2022-12-08,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1691493,NU,Nu Holdings Ltd.,NYSE,,ordinary shares,2021-12-09,pricing_proxy,0.75,2022-12-09,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1877557,WELNF,Integrated Wellness Acquisition Corp,NYSE,,unit,2021-12-09,pricing_proxy,0.75,2022-12-09,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1852495,,Jackson Acquisition Co,NYSE,,unit,2021-12-10,pricing_proxy,0.75,2022-12-10,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1853594,,Sculptor Acquisition Corp I,NYSE,,unit,2021-12-10,pricing_proxy,0.75,2022-12-10,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1865200,ANGX,"Angel Studios, Inc.",NYSE,,unit,2021-12-10,pricing_proxy,0.75,2022-12-10,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1846750,,Zalatoris Acquisition Corp.,NYSE,,unit,2021-12-13,pricing_proxy,0.75,2022-12-13,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1882198,ATEK,Athena Technology Acquisition Corp. II,NYSE,,unit,2021-12-13,pricing_proxy,0.75,2022-12-13,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1880343,AMZE,"AMAZE HOLDINGS, INC.",NYSE,,common stock,2021-12-14,pricing_proxy,0.75,2022-12-14,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1642896,IOT,Samsara Inc.,NYSE,,common stock,2021-12-15,pricing_proxy,0.75,2022-12-15,0,0,0,0,not_nasdaq_exchange (NYSE),0.9,listing_date_confidence_below_0.8,,,,Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1861121,,EVe Mobility Acquisition Corp,NYSE,,unit,2021-12-16,pricing_proxy,0.75,2022-12-16,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1864032,,Ault Disruptive Technologies Corp,NYSE,,unit,2021-12-16,pricing_proxy,0.75,2022-12-16,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
1880441,,Battery Future Acquisition Corp.,NYSE,,unit,2021-12-17,pricing_proxy,0.75,2022-12-17,0,0,0,0,spac_or_blank_check,0.9,listing_date_confidence_below_0.8,,,,issuer delisted/merged: SEC exchanges field empty; exchange taken from IPO-time 8-A12B; IPO-time security was Units (SPAC); CIK may now show a merged operating company; Nasdaq listing date unresolved; using low-confidence pricing/prospectus fallback
