cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,initial_matrix_status,initial_matrix_publication_date,initial_matrix_source,source_url,source_type,form_type,initial_matrix_confidence,observed_text_excerpt
1780201,LVLU,"Lulu's Fashion Lounge Holdings, Inc.",2021-11-11,2022-11-11,published_on_time,2022-04-29,0001140361-22-016935,https://www.sec.gov/Archives/edgar/data/1780201/000114036122016935/ny20002680x1_def14a.htm,edgar_filing,"DEF 14A",0.95,"s, digital marketing/brand development, global supply chains and human capital management, and apparel and direct-to-consumer experience as our Chief Executive Officer provides him with the qualifications and skills to serve as a director. The below board diversity matrix reflects certain self-reported statistics about the current eight members of our Board of Directors. Board Diversity Matrix Board Diversity Matrix (As of April 29, 2022) Total Number of Directors ​ ​ 8 ​ ​ Female ​ ​ Male ​ ​ N"
1574094,RNXT,"RenovoRx, Inc.",2021-08-26,2022-08-26,published_on_time,2022-04-29,0001493152-22-011553,https://www.sec.gov/Archives/edgar/data/1574094/000149315222011553/formdef14-a.htm,edgar_filing,"DEF 14A",0.95,"on, skill, and other individual qualities and attributes that contribute to the total mix of viewpoints and experience represented on our Board of Directors. Board Diversity Our directors represent a wide variety of skills and backgrounds. The below Board Diversity Matrix reports self-identified diversity statistics for the Board in the format required by the Nasdaq Marketplace Rules. As demonstrated by the Board Diversity Matrix, the Company is compliant with the diversity requirements of Nasda"
1645070,,"Sterling Check Corp.",2021-09-23,2022-09-23,published_on_time,2022-04-29,0001140361-22-016924,https://www.sec.gov/Archives/edgar/data/1645070/000114036122016924/ny20001781x1_def14a.htm,edgar_filing,"DEF 14A",0.85,"y is considered from a number of aspects, including gender, age, race, ethnicity, nationality, cultural and educational background, professional experience, skills, knowledge and length of service. Sterling Proxy Statement ​ ​ 13 TABLE OF CONTENTS ​ Board Diversity Matrix (as of April 29, 2022)* ​ ​ Total Number of Directors ​ ​ 10 ​ ​ ​ ​ Female ​ ​ Male ​ ​ Part I: Gender Identity ​ ​ ​ ​ ​ ​ Directors ​ ​ 1 ​ ​ 9 ​ ​ Part II: Demographic Background ​ ​ ​ ​ ​ ​ Asian ​ ​ — ​ ​ 2 ​ ​ White ​ ​ "
1866550,,"Thoughtworks Holding, Inc.",2021-09-15,2022-09-15,published_on_time,2022-04-29,0001140361-22-016768,https://www.sec.gov/Archives/edgar/data/1866550/000114036122016768/ny20003191x1_def14a.htm,edgar_filing,"DEF 14A",0.95,"key goals. We believe that diversity of backgrounds, life experiences and opinions not only makes us more innovative but are essential to our long-term success. As such, we believe that our Board of Directors is representative of that diversity. The Board Diversity Matrix below is as of April 18, 2022. ​ ​ ​Female ​ ​ Male Part I: Gender Identity Directors ​ ​ 3 ​ ​ 6 Part II: Demographic Background African American or Black ​ ​ 1 ​ ​ 0 Asian ​ ​ 0 ​ ​ 3 White ​ ​ 2 ​ ​ 3 Did Not Disclose Demogr"
1769804,,"Augmedix, Inc.",2021-10-28,2022-10-28,published_on_time,2022-05-02,0001213900-22-023206,https://www.sec.gov/Archives/edgar/data/1769804/000121390022023206/def14a0422_augmedixinc.htm,edgar_filing,"DEF 14A",0.95,"e end of 2019 and are required to have at least three female directors by the end of 2021. We believe that we are presently in compliance with the diversity requirements imposed by the proposed Nasdaq listing rules as well as SB826 summarized above. Board Diversity Matrix Board Diversity Matrix (As of April 29, 2022) Total Number of Directors 9 Female Male Non- Binary Did Not Disclose Gender Directors 3 6 0 0 Number of Directors who identify in Any of the Categories Below: African American or Bl"
1779372,BEAT,"HeartBeam, Inc.",2021-11-11,2022-11-11,published_on_time,2022-05-02,0001779372-22-000015,https://www.sec.gov/Archives/edgar/data/1779372/000177937222000015/heartbeaminc-proxystatemen.htm,edgar_filing,"DEF 14A",0.95,"and qualified. Board Diversity The table below provides information relating to certain voluntary self-identified characteristics of our directors. Each of the categories listed in the table below has the meaning as set forth in NASDAQ Rule 5605(f). Board Diversity Matrix (As of March 31, 2022) Total Number of Directors 5 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 4 0 0 Part II: Demographic Background African American or Black Alaskan Native or Native Amer"
1861522,,"KIDPIK CORP.",2021-11-11,2022-11-11,published_on_time,2022-05-02,0001493152-22-011826,https://www.sec.gov/Archives/edgar/data/1861522/000149315222011826/formdef14a.htm,edgar_filing,"DEF 14A",0.95,"orships 11 Classified board of directors 11 Committees of the Board 12 Board Committee Membership 12 Audit Committee 12 Compensation Committee and Nominating and Corporate Governance Committee 13 Nominations for Directors 13 Director Independence 13 Board Diversity Matrix 14 Website Availability of Documents 14 Executive Sessions of the Board of Directors 14 Stockholder Communications with the Board 14 Board of Directors Meetings 14 Executive Sessions of the Board of Directors 15 Policy on Equit"
1799011,LUCD,"Lucid Diagnostics Inc.",2021-10-14,2022-10-14,published_on_time,2022-05-02,0001493152-22-011734,https://www.sec.gov/Archives/edgar/data/1799011/000149315222011734/formdef14a.htm,edgar_filing,"DEF 14A",0.95,"ement of support for the nominee. The suggested nominee must also provide a statement of consent to being considered for nomination. There have been no material changes to the procedures by which security holders may recommend nominees to the Board. Board Diversity Matrix The nominating committee believes in an expansive definition of diversity that includes differences of gender, ethnicity, sexual orientation and other underrepresented groups as well as experience, education and talents, among "
1787740,VBIO,"Valion Bio, Inc.",2021-11-11,2022-11-11,published_on_time,2022-05-02,0001140361-22-017248,https://www.sec.gov/Archives/edgar/data/1787740/000114036122017248/edge20002788x1_def14a.htm,edgar_filing,"DEF 14A",0.95,"olicy in place, our Board values diversity and supports having directors of diverse gender, race, and ethnicity, along with varied skills and experiences. Information regarding the diversity of our Board members is outlined in the below table: Tivic Board Diversity Matrix (April 18, 2022) Total Number of Directors ​ ​ 4 ​ ​ Female ​ ​ Male ​ ​ Non-Binary ​ ​ Gender Not Disclosed Part 1: Gender Identity ​ ​ ​ ​ ​ ​ ​ ​ Directors ​ ​ 3 ​ ​ 1 ​ ​ 0 ​ ​ 0 Part II: Demographic Background ​ ​ ​ ​ ​ ​ "
1851657,,"Vaxxinity, Inc.",2021-11-11,2022-11-11,published_on_time,2022-05-02,0001562762-22-000201,https://www.sec.gov/Archives/edgar/data/1851657/000156276222000201/vaxxdef14a4292022.htm,edgar_filing,"DEF 14A",0.85,"ard composition, including on director diversity. TABLE OF CONTENTS 17 The table below reports self-identified gender and demographic statistics for the board of directors, as constituted prior to the Annual Meeting, in the format adopted by Nasdaq. Board Diversity Matrix (as of May 2, 2022) Female Male Total Number of Directors 7 Part I: Gender Identity Directors 1 6 Part II: Demographic Background Asian 1 1 White - 5 Board Role in Risk Oversight The board of directors has overall responsibilit"
1653482,GTLB,"Gitlab Inc.",2021-10-14,2022-10-14,published_on_time,2022-05-05,0001653482-22-000023,https://www.sec.gov/Archives/edgar/data/1653482/000165348222000023/gitlab-def14aproxyx2022.htm,edgar_filing,"DEF 14A",0.95,"o. 1 below includes the primary individual experience, qualifications, attributes and skills of each of our directors that led to the conclusion that each director should serve as a member of our board of directors at this time. 16 See below for the diversity matrix of our board of directors as of March 31, 2022: Total Number of Directors: 7 directors Female Male Non-Binary Did Not Disclosure Gender Gender Identity Directors 3 4 — — Demographic Background African American or Black 1 — — — Alaska"
1850453,,"Mynaric AG",2021-11-12,2022-11-12,published_on_time,2022-05-06,0001193125-22-143674,https://www.sec.gov/Archives/edgar/data/1850453/000119312522143674/d310942d20f.htm,edgar_filing,20-F,0.95,"d of the equity capital markets team. He currently serves on the supervisory board of nextmarkets AG. Board Diversity The table below provides certain information regarding the diversity of the supervisory board as of the date of this Annual Report. Board Diversity Matrix Country of Principal Executive Offices Germany Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors and Board Observers 5 Female Male Non-Binary Did Not Disclose Gender Part I: Ge"
1871509,PTLO,"Portillo's Inc.",2021-10-21,2022-10-21,published_on_time,2022-05-09,0001193125-22-144334,https://www.sec.gov/Archives/edgar/data/1871509/000119312522144334/d278654ddef14a.htm,edgar_filing,"DEF 14A",0.85,"cial diversity, Mses. Bordelon and Dodson each enhance the Board’s functional expertise in accounting, corporate governance, finance, and complex corporate legal matters. The following table sets forth certain diversity characteristics of our Board: Board Diversity Matrix as of May 9, 2022 Total Number of Directors 8 Female Male Part I: Gender Identity Directors 2 6 Part II: Demographic Background African American or Black 1 Alaskan Native or Native American Asian Hispanic or Latinx Native Hawai"
1704287,BJDX,"Bluejay Diagnostics, Inc.",2021-11-10,2022-11-10,published_on_time,2022-05-13,0001213900-22-026051,https://www.sec.gov/Archives/edgar/data/1704287/000121390022026051/ea159832-def14a_bluejaydia.htm,edgar_filing,"DEF 14A",0.85,"director positions. Diversity of Directors The following table summarizes certain self-identified characteristics of our directors, utilizing the categories and terms set forth in applicable Nasdaq rules and related guidance (as of April 29, 2022): Board Diversity Matrix (As of April 29, 2022) Total Number of Directors 6 Female Male Part I: Gender Identity Directors 1 5 Part II: Demographic Information Asian 1 White 1 4 LGBTQ+ 1 Stockholder Communications with Directors Persons wishing to write "
1841330,KTTA,"Pasithea Therapeutics Corp.",2021-09-15,2022-09-15,published_on_time,2022-05-13,0001213900-22-026293,https://www.sec.gov/Archives/edgar/data/1841330/000121390022026293/ea159602-def14a_pasitheathe.htm,edgar_filing,"DEF 14A",0.95,"new listing rules relating to board diversity and disclosure. As approved by the SEC, the new Nasdaq listing rules require all Nasdaq listed companies to disclose consistent, transparent diversity statistics regarding their boards of directors. The Board Diversity Matrix below presents the Board’s diversity statistics in the format prescribed by the Nasdaq rules. Board Diversity Matrix (As of May 13, 2022) Total Number of Directors 5 Female Male Non-Binary Did Not Disclose Gender Part I: Gender "
1676238,BRZE,"Braze, Inc.",2021-11-17,2022-11-17,published_on_time,2022-05-18,0001140361-22-019788,https://www.sec.gov/Archives/edgar/data/1676238/000114036122019788/ny20003702x1_def14a.htm,edgar_filing,"DEF 14A",0.95,"y. 10 TABLE OF CONTENTS The table below provides additional diversity information regarding our board of directors as of April 30, 2022. Each of the categories listed in the below table has the meaning as it is used in Nasdaq Listing Rule 5605(f). ​ Board Diversity Matrix ​ ​ Total Number of Directors ​ ​ 7 ​ ​ ​ ​ Female ​ ​ Male ​ ​ Non- Binary ​ ​ Did Not Disclose Gender ​ ​ Part I: Gender Identity ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ Directors ​ ​ 1 ​ ​ 6 ​ ​ ​ ​ ​ ​ Part II: Demographic Background ​ ​ ​ ​ ​"
1468327,RENT,"Rent the Runway, Inc.",2021-10-27,2022-10-27,published_on_time,2022-05-24,0001140361-22-020412,https://www.sec.gov/Archives/edgar/data/1468327/000114036122020412/ny20002604x1_def14a.htm,edgar_filing,"DEF 14A",0.95,"e to the total diversity of viewpoints and experience represented on the Board. The Board also considers other factors, including issues of character, integrity, judgment, potential conflicts of interest, and other commitments, as described below. ​ Board Diversity Matrix (as of May 24, 2022) ​ ​ Total Number of Directors ​ ​ 11 ​ ​ ​ ​ ​ ​ ​ ​ Female ​ ​ Male ​ ​ Non-Binary ​ ​ Did not disclose gender ​ ​ Part I: Gender Identity ​ ​ 6 ​ ​ 5 ​ ​ — ​ ​ — ​ ​ Part II: Demographic Background ​ ​ ​ "
1853816,DRMA,"Dermata Therapeutics, Inc.",2021-08-13,2022-08-13,published_on_time,2022-06-01,0001654954-22-007809,https://www.sec.gov/Archives/edgar/data/1853816/000165495422007809/drma_def14a.htm,edgar_filing,"DEF 14A",0.95,"ders through his or her established record of professional accomplishment, the ability to contribute positively to the collaborative culture among board members, knowledge of our business and understanding of the competitive landscape. The following Board Diversity Matrix presents our board diversity statistics in accordance with Nasdaq Rule 5606. The information is based on our directors’ self-reporting. As we pursue future board recruitment efforts, our Nominating and Corporate Governance Comm"
1874097,CYN,"Cyngn Inc.",2021-10-20,2022-10-20,published_on_time,2022-06-22,0001213900-22-034398,https://www.sec.gov/Archives/edgar/data/1874097/000121390022034398/def14a0622_cyngninc.htm,edgar_filing,"DEF 14A",0.95,"ship with the senior management of the Company. The matrix below provides certain highlights of the composition of our board members and nominees. Each of the categories listed in the below table has the meaning as it is used in Nasdaq Rule 5605(f). Board Diversity Matrix for Cyngn Inc. (as of June 21, 2022) Total Number of Directors: 5 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 2 3 — — African American or Black — — — — Alaskan Native or Native American — — "
1468929,NXGL,"NEXGEL, INC.",2021-12-22,2022-12-22,published_on_time,2022-07-18,0001493152-22-019575,https://www.sec.gov/Archives/edgar/data/1468929/000149315222019575/formdef14a.htm,edgar_filing,"DEF 14A",0.85,"rate nimbly and efficiently, while maintaining new ideas, expertise, experience and diversity among its membership. As of July 7, 2022, a female comprises approximately 14% of our Board. We currently have no underrepresented minorities on our Board. Board Diversity Matrix (as of July 7, 2022) Total Number of Directors 7 Female Male Part I: Gender Identity 1 6 Part II: Demographic Background White 1 6 The biographies of the Company Nominees are as follows: Adam Levy . Mr. Levy has served as our C"
1782107,ONCO,"Onconetix, Inc.",2022-02-18,2023-02-18,published_on_time,2022-07-18,0001213900-22-039898,https://www.sec.gov/Archives/edgar/data/1782107/000121390022039898/def14a0722_bluewatervacc.htm,edgar_filing,"DEF 14A",0.95,"ption Awards ($) Total ($) Kimberly Murphy — — — — James Sapirstein — — — — Allan Shaw — — — — Michael Venerable — — — — John Rice, Phd. (1) — — — — ____________ (1) Mr. Rice resigned from our Board, effective February 24, 2022. 28 Table of Contents Board Diversity Matrix The following Board Diversity Matrix presents our Board diversity statistics in accordance with Nasdaq Rule 5606, as self -disclosed by our Directors. Board Diversity Matrix as of July 18, 2022 Total Number of Directors 5 Femal"
1844971,GREE,"Greenidge Generation Holdings Inc.",2021-10-12,2022-10-12,published_on_time,2022-07-28,0001140361-22-027197,https://www.sec.gov/Archives/edgar/data/1844971/000114036122027197/ny20004435x2_def14a.htm,edgar_filing,"DEF 14A",0.95,"D ​ ​ 2 HOW TO VOTE ​ ​ 2 REVOKING A PROXY ​ ​ 2 SOLICITATION ​ ​ 3 VOTES REQUIRED ​ ​ 3 QUORUM ​ ​ 3 IMPLICATIONS OF BEING AN “EMERGING GROWTH COMPANY” ​ ​ 4 DIRECTORS AND EXECUTIVE OFFICERS ​ ​ 5 OUR EXECUTIVE OFFICERS AND BOARD OF DIRECTORS ​ ​ 5 BOARD DIVERSITY MATRIX ​ ​ 8 BOARD MEETING QUORUM REQUIREMENTS ​ ​ 8 BOARD COMMITTEES ​ ​ 8 DIRECTOR COMPENSATION ​ ​ 11 CORPORATE GOVERNANCE ​ ​ 12 BOARD LEADERSHIP STRUCTURE ​ ​ 12 DIRECTOR INDEPENDENCE ​ ​ 12 RISK OVERSIGHT ​ ​ 12 ANTI-HEDGING AND"
1534154,AUID,"authID Inc.",2021-08-25,2022-08-25,published_on_time,2022-08-05,0001213900-22-044960,https://www.sec.gov/Archives/edgar/data/1534154/000121390022044960/ea163261-def14a_authidinc.htm,edgar_filing,"DEF 14A",0.85,"t two diverse directors, including one who self-identifies as female and one who self-identifies as either an underrepresented minority or LGBTQ+. The chart below provides certain information regarding the diversity of the Board as of June 27, 2022. Board Diversity Matrix as of June 27, 2022 Total Number of Directors 8 Female Male Non-Binary Part I: Gender Identity Directors 2 6 - Part II: Demographic Background African American or Black - - - Alaskan Native or Native American - - - Asian 1 - - "
1807794,CRDO,"Credo Technology Group Holding Ltd",2022-01-27,2023-01-27,published_on_time,2022-08-09,0001628280-22-021966,https://www.sec.gov/Archives/edgar/data/1807794/000162828022021966/ctghproxystatementaugust20.htm,edgar_filing,"DEF 14A",0.95,"ee considers the composition of the Board, including the right diversity, mix of characteristics and skills for the optimal functioning of the Board in its oversight of our company. Members of our Board self-identify as set forth in the table below. Board Diversity Matrix Total Number of Directors 8 9 Table of Contents Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 7 — — Part II: Demographic Background African American or Black — — — — Alaskan Native or Native"
1628945,,"Cue Health Inc.",2021-09-24,2022-09-24,published_on_time,2022-08-09,0001628945-22-000096,https://www.sec.gov/Archives/edgar/data/1628945/000162894522000096/cuehealth-proxystatement.htm,edgar_filing,"DEF 14A",0.95,"garding nominations of directors, the nominating and corporate governance committee may take into account the benefits of diverse viewpoints. The following chart provides summary information about the diversity of our directors as of August 5, 2022: Board Diversity Matrix (as of August 5, 2022) Total Number of Directors: 6 Female Male Gender Undisclosed Part I: Gender Identity Directors 3 3 — Part II: Demographic Background African American — 1 — Hispanic or Latinx 1 — — White 2 — — Two or More "
1836242,TKLF,"Tokyo Lifestyle Co., Ltd.",2022-01-18,2023-01-18,published_on_time,2022-08-15,0001213900-22-048050,https://www.sec.gov/Archives/edgar/data/1836242/000121390022048050/f20f2022_yoshitsucoltd.htm,edgar_filing,20-F,0.95,". Kitamura received his Bachelor of Science in Literature and Science from Chiba University in 1971. Board Diversity The table below provides certain information regarding the diversity of our board of directors as of the date of this annual report. Board Diversity Matrix Country of Principal Executive Offices: Japan Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 6 Female Male Non- Binary Did Not Disclose Gender Part I: Gender Identity Direct"
1848275,TOP,"TOP Financial Group Ltd",2022-06-01,2023-06-01,published_on_time,2022-08-16,0001213900-22-048570,https://www.sec.gov/Archives/edgar/data/1848275/000121390022048570/f20f2022_topfinancial.htm,edgar_filing,20-F,0.95,"ime as his successor takes office or until the earlier of his death, resignation or removal from office by ordinary resolution or the affirmative vote of a simple majority of the other directors present and voting at a board meeting. Board Diversity Board Diversity Matrix (As of the date of this annual report) Country of Principal Executive Offices: Hong Kong Foreign Private Issuer Yes Disclosure Prohibited Under Home Country Law No Total Number of Directors 5 Female Male Non-Binary Did Not Disc"
1567900,ALOY,"REALLOYS INC.",2021-11-12,2022-11-12,published_on_time,2022-08-24,0001437749-22-021244,https://www.sec.gov/Archives/edgar/data/1567900/000143774922021244/blkbx20220812_def14a.htm,edgar_filing,"DEF 14A",0.85,"ny. Board Composition and Diversity The following table sets forth certain diversity statistics as self-reported by the current members of the Board. Each of the categories listed in the below table has the meaning as it is used in the Nasdaq Rules. Board Diversity Matrix for Blackboxstocks, Inc. (As of August 24, 2022) Total Number of Directors 5 Female Male Part I: Gender Identity Directors 1 4 Part II: Demographic Background White 1 4 LGBTQ+ -- -- Board Meetings and Attendance During fiscal y"
1878848,IREN,"IREN Ltd",2021-11-17,2022-11-17,published_on_time,2022-09-13,0001140361-22-033208,https://www.sec.gov/Archives/edgar/data/1878848/000114036122033208/brhc10041484_20f.htm,edgar_filing,20-F,0.95,"requirements) within one year of the IPO. All members of the Audit and Risk Committee are able to read and understand fundamental financial statements, are familiar with finance and accounting practices and principles, and are financially literate. Board Diversity Matrix Board Diversity Matrix (As of June 30, 2022) Country of Principal Executive Offices: Australia Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 5 Female Male Non- Binary Did No"
1505497,BRTX,"BioRestorative Therapies, Inc.",2021-11-09,2022-11-09,published_on_time,2022-09-23,0001021771-22-000053,https://www.sec.gov/Archives/edgar/data/1505497/000102177122000053/def14a.htm,edgar_filing,"DEF 14A",0.85,"ch executive officer will hold office until the initial meeting of the Board of Directors following the next annual meeting of stockholders and until his successor is elected and qualified or until his earlier resignation or removal. Board Diversity Board Diversity Matrix (As of September 15, 2022) Board Size: Total Number of Directors: 5 Female Male Part I: Gender Identity Directors - 5 12 Part II: Demographic Background Asian - 1 White - 5 Two or More Races or Ethnicities - 1 Committees Audit "
1144879,APLD,"Applied Digital Corp.",2022-04-13,2023-04-13,published_on_time,2022-09-27,0001144879-22-000038,https://www.sec.gov/Archives/edgar/data/1144879/000114487922000038/appliedblockchaininc-drafp.htm,edgar_filing,"DEF 14A",0.95,"rules also require most Nasdaq-listed companies to have, or explain why they do not have, at least two diverse directors, including one who self-identifies as female and one who self identifies as either an under-represented minority or LGBTQ+. The Board Diversity Matrix below presents the Board’s diversity statistics in the format prescribed by the Nasdaq rules. 2022 Proxy Statement 5 Proposal One As of August 30, 2022, the composition of our Board was as follows: Board Diversity Matrix (As of "
1191070,NEUP,"Neuphoria Therapeutics Inc.",2021-12-16,2022-12-16,published_on_time,2022-10-14,0000950170-22-019563,https://www.sec.gov/Archives/edgar/data/1191070/000095017022019563/bnox-20220630.htm,edgar_filing,20-F,0.95,"ributed to our board of directors’ conclusion that he should serve as a director of our company. 123 Board Diversity The table below provides certain information regarding the diversity of our board of directors as of the date of this Annual Report. Board Diversity Matrix Country of Principal Executive Offices: Australia Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 6 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Dir"
1839285,HCTI,"Healthcare Triangle, Inc.",2021-10-13,2022-10-13,published_on_time,2022-10-19,0001607062-22-000633,https://www.sec.gov/Archives/edgar/data/1839285/000160706222000633/hcti101422def14a.htm,edgar_filing,"DEF 14A",0.95,"ion about the gender and demographic diversity of our directors in the format required by such rule. The information in the matrix below is based solely on information provided by our directors about their gender and demographic self-identification. Board Diversity Matrix (As of September 19, 2022) Total Number of Directors Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 6 Part II: Demographic Background African American or Black Alaskan Native or Native Americ"
1676047,NTRB,"NutriBand Inc.",2021-10-01,2022-10-01,published_on_time,2022-10-31,0001213900-22-067690,https://www.sec.gov/Archives/edgar/data/1676047/000121390022067690/def14a1022_nutribandinc.htm,edgar_filing,"DEF 14A",0.95,"and conflicts of interest may arise that can be resolved only through the exercise by management their best judgment as may be consistent with their fiduciary duties. Management will try to resolve conflicts to the best advantage of all concerned. 8 Board Diversity Matrix Our Nasdaq Board Diversity Matrix as filed with NASDAQ has been posted on the Internet and may be viewed at https: // nutriband.com / diversity / . Board Diversity Matrix FOR: Nutriband Inc. As of 10 / 04 / 2022 Total Number of"
1872525,SWAG,"Stran & Company, Inc.",2021-11-09,2022-11-09,published_on_time,2022-10-31,0001213900-22-067346,https://www.sec.gov/Archives/edgar/data/1872525/000121390022067346/ea167709-def14a_stranandco.htm,edgar_filing,"DEF 14A",0.95,"hnicity, gender, age, cultural background and professional experiences in evaluating candidates for Board membership. Diversity is important because a variety of points of view contribute to a more effective decision-making process. 21 The following Board Diversity Matrix presents our Board diversity statistics, as voluntarily self-identified by our directors, in accordance with Nasdaq Listing Rule 5606. Board Diversity Matrix (As of October 31, 2022) Total Number of Directors: 6 Female Male Non"
1858685,BFRI,"Biofrontera Inc.",2021-10-29,2022-10-29,published_on_time,2022-11-08,0001493152-22-030999,https://www.sec.gov/Archives/edgar/data/1858685/000149315222030999/formdef14a.htm,edgar_filing,"DEF 14A",0.95,"by law or the Nasdaq listing standards concerning any amendments to, or waivers from, any provision of the code. The information on or accessed through our website is deemed not to be incorporated in this prospectus or to be part of this prospectus. Board Diversity Matrix The matrix below summarizes certain information regarding the diversity of our Board as of the date of this proxy statement. Each of the categories listed in the table below has the meaning set forth in Nasdaq Rule 5605(f). Boa"
1730773,BSFC,"Blue Star Foods Corp.",2021-11-05,2022-11-05,published_on_time,2022-11-09,0001493152-22-031050,https://www.sec.gov/Archives/edgar/data/1730773/000149315222031050/formdef14a.htm,edgar_filing,"DEF 14A",0.85,"new listing rules relating to board diversity and disclosure. As approved by the SEC, the new Nasdaq listing rules require all Nasdaq listed companies to disclose consistent, transparent diversity statistics regarding their boards of directors. The Board Diversity Matrix below presents the Board’s diversity statistics in the format prescribed by the Nasdaq rules. 9 Board Diversity Matrix (as of October 31, 2022) Total Number of Directors 7 Female Male Part I: Gender Identity Directors 1 6 Part I"
1875547,LCFY,"Locafy Ltd",2022-03-25,2023-03-25,published_on_time,2022-11-15,0001493152-22-032533,https://www.sec.gov/Archives/edgar/data/1875547/000149315222032533/form20f.htm,edgar_filing,20-F,0.95,"board of directors as of the date of this Annual Report. Additional biographical information of our directors and executive officers is set forth above under “ Item 6. Directors, Senior Management and Employees—A. Directors and Senior Management ”. Board Diversity Matrix Country of Principal Executive Offices: Australia Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 4 Female Male Non- Binary Did Not Disclose Gender Part I: Gender Identity Dir"
1757499,SHPH,"Shuttle Pharmaceuticals Holdings, Inc.",2022-08-31,2023-08-31,published_on_time,2022-11-21,0001493152-22-033175,https://www.sec.gov/Archives/edgar/data/1757499/000149315222033175/formdef14a.htm,edgar_filing,"DEF 14A",0.95,"and lecturer at several acclaimed universities worldwide. Her wealth of experience in research, administration and serving on boards coupled with her unique background and perspectives makes her ideally suited to serving as a member of our Board . 7 BOARD DIVERSITY matrix We believe that our Board of Directors should consist of individuals reflecting the diversity represented by our employees, customers and the communities in which we operate. The below table provides information related to the "
1817511,SOPA,"SOCIETY PASS INCORPORATED.",2021-11-09,2022-11-09,published_on_time,2022-12-01,0001140361-22-044044,https://www.sec.gov/Archives/edgar/data/1817511/000114036122044044/ny20005174x1_def14a.htm,edgar_filing,"DEF 14A",0.95,"board memberships. • Compatibility. The Board candidate should be able to develop a good working relationship with other Board members and contribute to the Board’s working relationship with the senior management of the Company. 10 TABLE OF CONTENTS Board Diversity Matrix The matrix below summarizes certain information regarding the diversity of our Board as of the date of this proxy statement. Each of the categories listed in the table below has the meaning set forth in Nasdaq Rule 5605(f). Boa"
1074871,MODD,"Modular Medical, Inc.",2022-02-11,2023-02-11,published_on_time,2022-12-20,0001019056-22-000687,https://www.sec.gov/Archives/edgar/data/1074871/000101905622000687/modular_def14a.htm,edgar_filing,"DEF 14A",0.95,"Paul DiPerna President, Chief Financial Officer, Treasurer and Chairman of the Board of Directors William J. Febbo Director Steven Felsher Director Morgan C. Frank Director Philip Sheibley Director Carmen Volkart Director Ellen O’Connor Vos Director Board Diversity Matrix The table below provides an enhanced disclosure regarding the diversity of the members and nominees of our Board of Directors. Each of the categories listed in the below table has the meaning as it is used in Nasdaq Rule 5605(f"
1914818,STBXF,"Starbox Group Holdings Ltd.",2022-08-23,2023-08-23,published_on_time,2023-01-18,0001493152-23-001784,https://www.sec.gov/Archives/edgar/data/1914818/000149315223001784/form20-f.htm,edgar_filing,20-F,0.95,"ysia. Ms. Law received her bachelor of law degree from the University of Sheffield, England in 2000. Board Diversity The table below provides certain information regarding the diversity of our board of directors as of the date of this annual report. Board Diversity Matrix Country of Principal Executive Offices: Malaysia Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 5 Female Male Non- Binary Did Not Disclose Gender Part I: Gender Identity Dir"
1889823,DFSC,"DEFSEC Technologies Inc.",2022-12-08,2023-12-08,published_on_time,2023-01-27,0001062993-23-001487,https://www.sec.gov/Archives/edgar/data/1889823/000106299323001487/form20f.htm,edgar_filing,20-F,0.95,"as Interim CEO and as a director of Foremost Ventures Corp., a position he held from 2018 until the Qualifying Transaction with KWESST Inc. Finally, Mr. McCoach is an active crew member, and Vice Chairman of, Royal Canadian Marine Search and Rescue. Board Diversity Matrix Board Diversity Matrix (As of January 27, 2023) Country of Principal Executive Offices: Canada Foreign Private Issuer Yes Disclosure Prohibited under Home Country Law No Total Number of Directors 5 Female Male Non-Binary Did No"
1828588,HNVR,"Hanover Bancorp, Inc. /MD",2022-05-11,2023-05-11,published_on_time,2023-01-27,0001104659-23-007553,https://www.sec.gov/Archives/edgar/data/1828588/000110465923007553/tm234384d1_def14a.htm,edgar_filing,"DEF 14A",0.85,"tion, experience and leadership qualities. [Remainder of Page Intentionally Blank] 8 As part of these efforts to promote corporate social responsibility, the following graphics summarize certain demographic characteristics of the Board of Directors: Total Number of Directors: Nine (9) PART 1 – Gender Identity Female Male Non-Binary Did Not Disclose Gender Number of Directors 1 8 PART II: Demographic Background African American or Black Alaskan Native or Native American Asian South Asian 1 Hispan"
