cik,ticker,legal_name,continuation_group,continuation_status,cluster,pc1,pc2,predicted_probability
1871509,PTLO,Portillo's Inc.,continued,continued_other_narrative,1,1.940291962364515,-4.4847179926119445,0.7954957608353288
1704287,BJDX,"Bluejay Diagnostics, Inc.",continued,continued_other_narrative,1,2.507205539206523,1.425694526878914,0.9134573631501065
1841330,KTTA,Pasithea Therapeutics Corp.,continued,continued_other_narrative,1,2.4872518758179436,0.9811114432312333,0.6831586653592562
1676238,BRZE,"Braze, Inc.",continued,continued_other_narrative,1,1.9515093437065762,-4.9352315601184955,0.7604752271805447
1468327,RENT,"Rent the Runway, Inc.",continued,continued_other_narrative,1,2.245388310496568,0.3424034958144754,0.8088144426285868
1853816,DRMA,"Dermata Therapeutics, Inc.",continued,continued_other_narrative,1,2.6767674634685044,1.9144214151064112,0.9021229893724096
1874097,CYN,Cyngn Inc.,continued,continued_other_narrative,1,2.22451406280146,0.5446611317922581,0.9646605799002412
1468929,NXGL,"NEXGEL, INC.",continued,continued_same_matrix,1,2.623163398165169,2.0583002617656976,0.9762140128020349
1782107,ONCO,"Onconetix, Inc.",continued,continued_other_narrative,1,2.086100710739602,2.026221333328268,0.9225043268254413
1844971,GREE,Greenidge Generation Holdings Inc.,continued,continued_other_narrative,2,2.756264833972585,1.0698787385329758,0.8779648304784293
1534154,AUID,authID Inc.,not_continued,not_continued_in_reviewed_filings,1,2.3655692045525596,-1.3278680044819706,0.8415165462184646
1807794,CRDO,Credo Technology Group Holding Ltd,continued,continued_other_narrative,1,0.09192313192306911,-3.975697074826245,0.9514702994119482
1628945,,Cue Health Inc.,not_continued,no_post_vacatur_relevant_filing,1,2.800440805642387,1.6078125789456539,0.24548642857708014
1836242,TKLF,"Tokyo Lifestyle Co., Ltd.",not_continued,not_continued_in_reviewed_filings,0,-4.936504118797094,0.5541646407689057,0.3703861751523414
1848275,TOP,TOP Financial Group Ltd,not_continued,not_continued_in_reviewed_filings,0,-5.17012664655207,1.296814491665535,0.669942802297986
1567900,ALOY,REALLOYS INC.,continued,continued_same_matrix,1,2.1466161116537057,0.3343333095812113,0.9661835247396438
1878848,IREN,IREN Ltd,continued,continued_other_narrative,2,-0.5283385638789354,-3.3096238605629678,0.9249958328294097
1505497,BRTX,"BioRestorative Therapies, Inc.",continued,continued_other_narrative,1,2.1251111946326677,-1.0011146645066704,0.7836089083268126
1144879,APLD,Applied Digital Corp.,continued,continued_other_narrative,1,1.7241576755275074,-4.695805907798955,0.8759158046317713
1191070,NEUP,Neuphoria Therapeutics Inc.,not_continued,not_continued_in_reviewed_filings,1,1.6984494272969934,0.765521325479895,0.37754757274776996
1839285,HCTI,"Healthcare Triangle, Inc.",continued,continued_other_narrative,1,2.3036642299462753,-0.05263168122416389,0.5725710810647617
1676047,NTRB,NutriBand Inc.,continued,continued_same_matrix,1,2.8164980383417535,1.3508809454770598,0.5862620316010697
1872525,SWAG,"Stran & Company, Inc.",continued,continued_other_narrative,1,2.2651159752957613,1.000038081994449,0.917133880756997
1858685,BFRI,Biofrontera Inc.,continued,continued_other_narrative,1,2.878227158572852,1.3050148466112714,0.8051905787926532
1730773,BSFC,Blue Star Foods Corp.,continued,continued_other_narrative,1,2.7675072544972297,-0.5435484589597634,0.9401928839935265
1875547,LCFY,Locafy Ltd,continued,continued_same_matrix,0,-4.714503184694522,0.4282019401261889,0.5798870420678094
1757499,SHPH,"Shuttle Pharmaceuticals Holdings, Inc.",continued,continued_other_narrative,1,1.9416572329872206,1.8639998742784862,0.9346879868414053
1817511,SOPA,SOCIETY PASS INCORPORATED.,continued,continued_other_narrative,1,0.7557708407048235,0.9394432122966436,0.9594105965112746
